ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
703,Texas,12795,Marianna Singletary,Redshirt Freshman,"Charleston, S.C.",Porter-Gaud,,"6'4""",MB,11,https://www.texassports.com/sports/womens-volleyball/roster/marianna-singletary/12795,2023
703,Texas,12784,Keonilei Akana,Junior,"Hauula, Hawaii",Kamehameha Kapalama,Nebraska,"5'9""",L,12,https://www.texassports.com/sports/womens-volleyball/roster/keonilei-akana/12784,2023
703,Texas,12798,Jenna Wenaas,Junior,"Frisco, Texas",Liberty,Minnesota,"6'1""",OH,13,https://www.texassports.com/sports/womens-volleyball/roster/jenna-wenaas/12798,2023
703,Texas,12786,Jordyn Byrd,Freshman,"Bradenton, Fla.",Cardinal Mooney Catholic,,"6'4""",OH,14,https://www.texassports.com/sports/womens-volleyball/roster/jordyn-byrd/12786,2023
703,Texas,12794,Molly Phillips,Senior,"Mansfield, Texas",Mansfield,,"6'5""",OPP,15,https://www.texassports.com/sports/womens-volleyball/roster/molly-phillips/12794,2023
703,Texas,12789,Reilly Heinrich,Junior,"Georgetown, Texas",Rouse,,"5'6""",L,19,https://www.texassports.com/sports/womens-volleyball/roster/reilly-heinrich/12789,2023
703,Texas,12787,Marina Crownover,Redshirt Freshman,"Austin, Texas",St. Stephen’s Episcopal,,"5'10""",S,22,https://www.texassports.com/sports/womens-volleyball/roster/marina-crownover/12787,2023
703,Texas,12791,Devin Kahahawai,Sophomore,"Kailua, Hawaii",Kamehameha Kapalama,,"6'4""",OH,44,https://www.texassports.com/sports/womens-volleyball/roster/devin-kahahawai/12791,2023
703,Texas,12801,Nya Bunton,Freshman,"Louisville, Ky.",duPont Manual,,"6'3""",MB,55,https://www.texassports.com/sports/womens-volleyball/roster/nya-bunton/12801,2023
709,Toledo,8598,Claire Eiden,Senior,"Ottawa, Ohio",Ottawa-Glandorf,,"5'7""",Defensive,1,https://www.utrockets.com/sports/womens-volleyball/roster/claire-eiden/8598,2023
709,Toledo,8610,Macy Hatkevich,Freshman,"Granger, Ind.",Penn,,"5'8""",Setter,2,https://www.utrockets.com/sports/womens-volleyball/roster/macy-hatkevich/8610,2023
709,Toledo,8604,Macy Medors,Sophomore,"Columbus, Ohio",Upper Arlington,,"5'3""",Defensive,3,https://www.utrockets.com/sports/womens-volleyball/roster/macy-medors/8604,2023
709,Toledo,8602,Ryann Jaqua,Fifth Year,"Kalamazoo, Mich.",Portage Central,,"5'7""",Defensive,6,https://www.utrockets.com/sports/womens-volleyball/roster/ryann-jaqua/8602,2023
709,Toledo,8609,Avery Adamski,Freshman,"Perrysburg, Ohio",Perrysburg,,"5'8""",Defensive,7,https://www.utrockets.com/sports/womens-volleyball/roster/avery-adamski/8609,2023
709,Toledo,8603,Mary-Kate Lopez,Senior,"Mount Prospect, Ill.",Loyola Academy,,"6'3""",Setter,8,https://www.utrockets.com/sports/womens-volleyball/roster/mary-kate-lopez/8603,2023
709,Toledo,8611,Emily Honzelka,Freshman,"Hubertus, Wis.",Kettle Moraine Lutheran,,"6'3""",Middle,9,https://www.utrockets.com/sports/womens-volleyball/roster/emily-honzelka/8611,2023
709,Toledo,8613,Kayla Ozanich,Freshman,"Okemos, Mich.",Okemos,,"6'3""",Middle,10,https://www.utrockets.com/sports/womens-volleyball/roster/kayla-ozanich/8613,2023
709,Toledo,8612,Brooke Naniseni,Freshman,"Mililani, Hawaii",Iolani School,,"6'1""",Outside,11,https://www.utrockets.com/sports/womens-volleyball/roster/brooke-naniseni/8612,2023
709,Toledo,8600,Rhyenne Filisi,Fifth Year,"Waipahu, Hawaii",Maryknoll School,,"6'2""",Middle,12,https://www.utrockets.com/sports/womens-volleyball/roster/rhyenne-filisi/8600,2023
709,Toledo,8606,Rachel Pierce,Senior,"Rockbridge, Ohio",Logan,,"6'2""",Outside,13,https://www.utrockets.com/sports/womens-volleyball/roster/rachel-pierce/8606,2023
709,Toledo,8595,Anna Alford,Sophomore,"Hilliard, Ohio",Hilliard Bradley,,"6'4""",Middle,14,https://www.utrockets.com/sports/womens-volleyball/roster/anna-alford/8595,2023
709,Toledo,8597,Jada Bouyer,Senior,"Liberty Township, Ohio",Lakota East,,"5'9""",Opposite,15,https://www.utrockets.com/sports/womens-volleyball/roster/jada-bouyer/8597,2023
709,Toledo,8605,Payton Morman,Senior,"Bowling Green, Ohio",St. Ursula Academy,,"5'10""",Setter,16,https://www.utrockets.com/sports/womens-volleyball/roster/payton-morman/8605,2023
709,Toledo,8596,Taylor Alt,Senior,"Ottawa, Ohio",Ottawa-Glandorf,,"6'1""",Outside,17,https://www.utrockets.com/sports/womens-volleyball/roster/taylor-alt/8596,2023
709,Toledo,8599,Abby Erickson,Senior,"Powell, Ohio",Olentangy Liberty,,"6'1""",Middle,18,https://www.utrockets.com/sports/womens-volleyball/roster/abby-erickson/8599,2023
709,Toledo,8601,Izzy Granger,Sophomore,"Findlay, Ohio",Liberty Benton,,"6'0""",Outside,21,https://www.utrockets.com/sports/womens-volleyball/roster/izzy-granger/8601,2023
709,Toledo,8608,Sierra Pertzborn,Freshman,"Middleton, Wis.",Middleton,,"6'3""",Middle,22,https://www.utrockets.com/sports/womens-volleyball/roster/sierra-pertzborn/8608,2023
716,Troy,10482,Amiah Butler,Sophomore,"Pensacola, Fla.",Pensacola Catholic HS,,"6'0""",Outside,1,https://www.troytrojans.com/sports/womens-volleyball/roster/amiah-butler/10482,2023
716,Troy,10487,Jaci Mesa,Sophomore,"Canyon Lake, Texas.",Smithson Valley HS,,"5'7""",Defensive,2,https://www.troytrojans.com/sports/womens-volleyball/roster/jaci-mesa/10487,2023
716,Troy,10480,Ella Broadhead,Redshirt Freshman,"Daphne, Ala.",Bayside Academy,,"6'1""",Middle,3,https://www.troytrojans.com/sports/womens-volleyball/roster/ella-broadhead/10480,2023
716,Troy,10493,Sydney Austin,Freshman,"Flowery Branch, Ga.",Buford HS,,"6'3""",Middle,4,https://www.troytrojans.com/sports/womens-volleyball/roster/sydney-austin/10493,2023
716,Troy,10483,Caroline Darracott,Junior,"Newnan, Ga.",Newnan HS,,"5'5""",Defensive,5,https://www.troytrojans.com/sports/womens-volleyball/roster/caroline-darracott/10483,2023
716,Troy,10481,Julia Brooks,Senior,"St. Louis, Mo.",Parkway North HS,,"6'1""",Middle,7,https://www.troytrojans.com/sports/womens-volleyball/roster/julia-brooks/10481,2023
716,Troy,10484,Olivia Grantham,Redshirt Freshman,"Gainesville, Fla.",Trinity Catholic,,"5'5""",Defensive,8,https://www.troytrojans.com/sports/womens-volleyball/roster/olivia-grantham/10484,2023
716,Troy,10485,Tori Hester,Junior,"Salisbury, N.C.",West Rowan HS,,"5'9""",Outside,10,https://www.troytrojans.com/sports/womens-volleyball/roster/tori-hester/10485,2023
716,Troy,10486,Maleah Howe,Redshirt Freshman,"Waukesha, Wis.",Oconomowoc HS,,"5'9""",Outside,11,https://www.troytrojans.com/sports/womens-volleyball/roster/maleah-howe/10486,2023
716,Troy,10492,Audrey Worthington,Freshman,"Blacklick, Ohio",Gahanna Lincoln HS,,"6'1""",Middle,12,https://www.troytrojans.com/sports/womens-volleyball/roster/audrey-worthington/10492,2023
716,Troy,10491,Addison Kersting,Freshman,"Saint Charles, Mo.",Saint Charles HS,,"5'11""",Setter,13,https://www.troytrojans.com/sports/womens-volleyball/roster/addison-kersting/10491,2023
716,Troy,10489,Janelle Stuempfig,Sophomore,"Sussex, Wisc.",Hamilton HS,,"6'0""",Setter,16,https://www.troytrojans.com/sports/womens-volleyball/roster/janelle-stuempfig/10489,2023
716,Troy,10479,Sara Bates,Sophomore,"Cincinnati, Ohio.",Seton HS,,"5'10""",Outside,17,https://www.troytrojans.com/sports/womens-volleyball/roster/sara-bates/10479,2023
716,Troy,10490,Emma Blaine,Freshman,"O'Fallon, Mo.",Howell Central HS,,"6'0""",Outside,18,https://www.troytrojans.com/sports/womens-volleyball/roster/emma-blaine/10490,2023
716,Troy,10488,Sophie Sparks,Junior,"Lewis Center, Ohio",Olentangy HS,,"6'0""",Outside,24,https://www.troytrojans.com/sports/womens-volleyball/roster/sophie-sparks/10488,2023
14,Albany,9520,Brooke Malek,Sophomore,"Edmonton, Alberta, Canada",Harry Ainley,,"5'7""",Defensive,2,https://www.ualbanysports.com/sports/womens-volleyball/roster/brooke-malek/9520,2023
14,Albany,9722,Kyrah Wilbur,Freshman,"Baldwinsville, N.Y.",Baldwinsville,,"6'0""",Outside,3,https://www.ualbanysports.com/sports/womens-volleyball/roster/kyrah-wilbur/9722,2023
14,Albany,9526,Shynelle Woroniuk,Redshirt Sophomore,"Red Deer, Alberta, Canada",Notre Dame,,"6'0""",Outside,4,https://www.ualbanysports.com/sports/womens-volleyball/roster/shynelle-woroniuk/9526,2023
14,Albany,9718,Gabriella Karman,Redshirt Freshman,"Orlando, Fla.",Lake Nona,NC State,"6'0""",Middle,5,https://www.ualbanysports.com/sports/womens-volleyball/roster/gabriella-karman/9718,2023
14,Albany,9521,Anna Myhal,Sophomore,"Poltava, Ukraine","High Sports School (Stezyca, Poland)",,"5'11""",Outside,7,https://www.ualbanysports.com/sports/womens-volleyball/roster/anna-myhal/9521,2023
14,Albany,9720,Sthefany Carvalho,Junior,"Uberlândia, Brazil",Colégio Nacional - Uberlândia,MSU-West Plains,"5'6""",Defensive,8,https://www.ualbanysports.com/sports/womens-volleyball/roster/sthefany-carvalho/9720,2023
14,Albany,9717,Nicole Bell,Freshman,"Macedon, N.Y.",Penfield,,"5'11""",Outside,10,https://www.ualbanysports.com/sports/womens-volleyball/roster/nicole-bell/9717,2023
14,Albany,9723,Tori Wilson,Sophomore,"Allen, Texas",Allen,NC Central,"6'0""",Middle,12,https://www.ualbanysports.com/sports/womens-volleyball/roster/tori-wilson/9723,2023
14,Albany,9721,Campbell Robinson,Freshman,"Cincinnati, Ohio",Milford,,"6'2""",Middle,14,https://www.ualbanysports.com/sports/womens-volleyball/roster/campbell-robinson/9721,2023
14,Albany,9719,Emilia Kuzniar,Freshman,"Przemysl, Poland",Sports Championship,,"5'10""",Setter,16,https://www.ualbanysports.com/sports/womens-volleyball/roster/emilia-kuzniar/9719,2023
