hometown,country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Cary, N.C.",USA,35.78901,-78.777686,1,street_center,,"Cary St",,,Cary,NC,"Wake County",27513,US,"TIGER/Line® dataset from the US Census Bureau"
"Waconia, Minn.",USA,0,0,0,,,,,,,,,,,
"Fort Mill, S.C.",USA,35.050243,-80.990828,0.5,place,,,,,"Fort Mill",SC,"York County",29708,US,"TIGER/Line® dataset from the US Census Bureau"
"Anderson, S.C.",USA,34.835455,-82.415366,0.9,street_center,,"Anderson St",,,Greenville,SC,"Greenville County",29601,US,"TIGER/Line® dataset from the US Census Bureau"
"Westampton, N.J.",USA,40.107274,-74.665201,1,state,,,,,,NJ,,,US,"TIGER/Line® dataset from the US Census Bureau"
"Columbia, S.C.",USA,33.987454,-81.024864,0.5,place,,,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"Hilton Head Island, S.C.",USA,32.21319,-80.799698,1,place,,,,,"Hilton Head Island",SC,"Beaufort County",29925,US,"TIGER/Line® dataset from the US Census Bureau"
"River Edge, N.J.",USA,40.935096,-74.029634,1,street_center,,"River Edge Rd",,,"River Edge",NJ,"Bergen County",07661,US,"TIGER/Line® dataset from the US Census Bureau"
"New York, N.Y.",USA,40.702341,-74.010262,1,street_center,,"New York Plz",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Sioux Falls, S.D.",USA,43.543191,-96.745422,0.86,street_center,,"W Sioux St",,,"Sioux Falls",SD,"Minnehaha County",57104,US,"TIGER/Line® dataset from the US Census Bureau"
"Woodbury, Minn.",USA,0,0,0,,,,,,,,,,,
"Sioux Falls, S.D",USA,43.543191,-96.745422,0.86,street_center,,"W Sioux St",,,"Sioux Falls",SD,"Minnehaha County",57104,US,"TIGER/Line® dataset from the US Census Bureau"
"Webster, NY",USA,43.21821,-77.454075,0.5,place,,,,,Webster,NY,"Monroe County",14580,US,"TIGER/Line® dataset from the US Census Bureau"
"Glendale, NY",USA,40.633163,-73.932517,0.9,street_center,,"Glendale Ct",,,Brooklyn,NY,"Kings County",11234,US,"TIGER/Line® dataset from the US Census Bureau"
"Allen, TX",USA,33.111226,-96.672057,0.9,street_center,,"N Allen Dr",,,Allen,TX,"Collin County",75013,US,"TIGER/Line® dataset from the US Census Bureau"
"West Nyack, NY",USA,41.095177,-73.978136,1,street_center,,"W Nyack Rd",,,"West Nyack",NY,"Rockland County",10994,US,"TIGER/Line® dataset from the US Census Bureau"
"Winter Springs, FL",USA,28.678684,-81.250194,1,street_center,,"Winter Springs Blvd",,,"Winter Springs",FL,"Seminole County",32708,US,"TIGER/Line® dataset from the US Census Bureau"
"Phoenix, AZ",USA,33.35313,-111.790245,0.8,street_center,,"N Phoenix Ave",,,Gilbert,AZ,"Maricopa County",85233,US,"TIGER/Line® dataset from the US Census Bureau"
"Atlanta, GA",USA,33.857222,-84.675088,0.9,street_center,,"Atlanta St",,,"Powder Springs",GA,"Cobb County",30127,US,"TIGER/Line® dataset from the US Census Bureau"
"Corpus Christi, TX",USA,27.834064,-97.073866,0.9,street_center,,"Corpus Christi Ch",,,"Port Aransas",TX,"Nueces County",78373,US,"TIGER/Line® dataset from the US Census Bureau"
"Highland Mills, NY",USA,41.357945,-74.101067,1,street_center,,"Highland Dr",,,"Highland Mills",NY,"Orange County",10930,US,"TIGER/Line® dataset from the US Census Bureau"
"Long Beach, CA",USA,33.876382,-118.203508,0.95,street_center,,"Long Beach Blvd",,,"Long Beach",CA,"Los Angeles County",90805,US,"TIGER/Line® dataset from the US Census Bureau"
"Spring Hill, FL",USA,28.454624,-82.56045,1,street_center,,"Spring Hill Dr",,,"Spring Hill",FL,"Hernando County",34608,US,"TIGER/Line® dataset from the US Census Bureau"
"Peoria, AZ",USA,33.582581,-112.23758,0.9,street_center,,"W Peoria Ave",,,Peoria,AZ,"Maricopa County",85345,US,"TIGER/Line® dataset from the US Census Bureau"
"Queens, NY",USA,40.74738,-73.939607,1,street_center,,"Queens St",,,"Long Island City",NY,"Queens County",11101,US,"TIGER/Line® dataset from the US Census Bureau"
"Junction City, KS",USA,39.015353,-96.747527,1,street_center,,"Junction Rd",,,"Junction City",KS,"Geary County",66441,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Petersburg, FL",USA,27.775654,-82.64092,0.5,place,,,,,"Saint Petersburg",FL,"Pinellas County",33701,US,"TIGER/Line® dataset from the US Census Bureau"
"New York City, N.Y.",USA,40.702341,-74.010262,0.9,street_center,,"New York Plz",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Miller, S.D.",USA,44.480979,-99.062766,1,place,,,,,Miller,SD,"Hand County",57362,US,"TIGER/Line® dataset from the US Census Bureau"
"Pickens, S.C.",USA,34.835435,-82.624762,0.9,street_center,,"Pickens St",,,Easley,SC,"Pickens County",29640,US,"TIGER/Line® dataset from the US Census Bureau"
"Marriot, Md.",USA,0,0,0,,,,,,,,,,,
"Hampton, VA",USA,36.996051,-76.388117,1,street_center,,"Hampton Dr",,,Hampton,VA,"Hampton City",23661,US,"TIGER/Line® dataset from the US Census Bureau"
"Philadelphia, PA",USA,40.083654,-75.349867,0.9,street_center,,"Philadelphia Ave",,,"King of Prussia",PA,"Montgomery County",19406,US,"TIGER/Line® dataset from the US Census Bureau"
NA,USA,37.66397,-84.466325,0.8,place,,,,,Nina,KY,"Garrard County",40444,US,"TIGER/Line® dataset from the US Census Bureau"
"Kernersville, N.C.",USA,36.100167,-80.117434,1,street_center,,"Kernersville Rd",,,Kernersville,NC,"Forsyth County",27284,US,"TIGER/Line® dataset from the US Census Bureau"
"Knightdale, N.C.",USA,35.791746,-78.426406,0.9,street_center,,"Knightdale Rd",,,Wendell,NC,"Wake County",27591,US,"TIGER/Line® dataset from the US Census Bureau"
"Hendersonville, N.C.",USA,35.480904,-82.524741,0.9,street_center,,"Hendersonville Rd",,,Arden,NC,"Buncombe County",28704,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Paul, Minn.",USA,0,0,0,,,,,,,,,,,
"Poughkeepsie, N.Y.",USA,41.701908,-73.911521,1,place,,,,,Poughkeepsie,NY,"Dutchess County",12601,US,"TIGER/Line® dataset from the US Census Bureau"
"Wantagh, N.Y.",USA,40.679561,-73.509882,1,street_center,,"Wantagh Ave",,,Wantagh,NY,"Nassau County",11793,US,"TIGER/Line® dataset from the US Census Bureau"
