hometown,count
"Avon, Ny",1
"Avon, Ohio",4
"Avondale, Ariz.",1
"Avondale, Pa.",1
"Azle, Texas",2
"Aztec, N.m.",1
"Backus, Mn",1
"Bainbridge, N.y.",1
"Baker City, Or",1
"Baker, Fla.",1
Bakersfield,1
"Bakersfield, Ca",4
"Bakersfield, Calif.",11
"Balch Springs, Texas",1
"Baldwin, N.y.",1
"Baldwinsville, N.y.",5
"Baldwinsville, Ny",3
"Ballston Spa, N.y.",1
"Ballwin, Mo.",2
"Balsam Lake, Wis.",2
"Baltimore, Md",3
"Baltimore, Md.",5
"Baltimore, Ohio",1
"Bandera, Texas",4
"Barberton, Oh",1
"Barberton, Ohio",1
"Barboursville, Va.",1
"Bardstown, Kentucky",1
"Bardstown, Ky.",1
"Bargersville, Ind.",1
"Bark River, Mich.",1
"Barkhamsted, Conn.",1
"Barnesville, Minn.",1
"Barnesville, Ohio",1
"Barneveld, Wis.",1
"Barnwell, Alberta",1
"Barranquitas, Puerto Rico",1
"Barrington, N.h.",1
"Barrington, R.i.",2
"Bartelso, Il",1
"Bartlesville, Okla.",2
"Bartlett, Ill.",1
"Bartlett, Tn",2
"Basehor, Kan.",2
"Basehor, Kansas",1
"Basom, Ny",1
"Bastrop, Texas",1
"Batavia, Il",1
"Batavia, Ill.",2
"Batesburg-Leesville, S.c.",1
"Bath, Ny",1
"Baton Rouge, La",5
"Baton Rouge, La.",10
"Battle Ground, Wash.",1
"Battlecreek, Mich.",1
"Bauxite, Ark.",1
"Baxter Springs, Kan.",1
"Bay Minette, Ala",1
"Bay Minette, Ala.",1
"Bay Shore, Ny",3
"Bay Village, Oh",2
"Bay Village, Ohio",2
"Bayamon, P.r.",1
"Bayamon, Puerto Rico",7
"Bayamón, P.r.",1
"Bayamón, Puerto Rico",1
"Bayfield, Wis.",1
"Bayou Gauche, La.",1
"Bayside, N.y.",1
"Baytown, Texas",3
"Baytown, Tx",3
"Beachwood, Nj",1
"Beachwood, Oh",1
"Beacon Falls, Conn.",1
"Bear, De",2
"Bear, Del.",4
"Beaufort, S.c.",1
"Beaumont, Ca",1
"Beaumont, Calif.",1
"Beaumont, Texas",1
"Beaumont, Tx",1
"Beaver Dam, Wis.",3
"Beaver, Pa.",1
"Beavercreek, Ohio",1
"Beaverton, Or",1
"Beaverton, Ore.",6
"Becker, Minn.",1
Beckville,1
"Bedford, Mass.",2
"Bedford, Mi",1
"Bedford, N.h.",1
"Bedford, Pa",1
"Bedford, Pa.",2
"Bedford, Texas",4
"Bedford, Va.",1
"Bel Air, Md",2
"Bel Air, Md.",3
"Bel Aire, Kan.",1
"Bel Tiburon, Calif.",1
"Belgrade, Serbia",11
"Belhaven, N.c.",1
"Belington, W.va",1
"Belington, W.va.",1
"Bellbrook, Ohio",1
"Belle Harbor, N.y.",3
"Belle Isle, Fl",1
"Belle Mead, N.j.",1
"Bellefonte, Pa.",1
"Bellerose, N.y.",1
"Belleview, Fl",1
"Belleville, Il",1
"Belleville, Ill.",7
"Belleville, Kan.",1
"Belleville, Mich.",1
"Bellevue, Wa",1
"Bellevue, Wash.",2
Bellflower,1
"Bellflower, Calif.",1
"Bellingham, Wa",2
"Bellport, N.y.",1
"Bellville, Texas",3
"Bellville, Tx",1
"Bellwood, Pa",1
"Belmont, Calif.",2
"Belmont, Mass.",1
"Belmont, Mich.",1
"Belmont, Ohio",1
"Belo Horizonte, Minas Gerais, Brasil",1
"Belpre, Ohio",1
"Belton, Mo.",2
"Belton, Sc",1
"Belton, Tx",1
"Belvedere Tiburon, Calif.",1
"Belvidere, Ill.",3
"Bemidji, Minn.",3
"Ben Avon, Pa.",1
"Bend, Or",2
"Bend, Ore.",10
Benet Academy,1
"Bennington, Neb.",1
"Bennington, Vt.",1
"Bensalem, Pa",1
"Bensalem, Pa.",1
"Benson, Nc",1
"Benton, Ark.",4
"Benton, Kan.",1
"Benton, Ky",1
"Bentonville, Ar",2
"Bentonville, Ark.",5
"Berea, Ky.",3
"Berea, Ohio",1
"Bergen, N.y.",1
"Bergen, Ny",1
"Berkeley Heights, N.j.",1
"Berkeley, Calif.",3
"Berkley, Mich.",1
Berlin,1
"Berlin, Pa.",1
"Berryton, Kan.",1
"Berthoud, Co",1
"Bessemer, Al",1
"Bethalto, Ill.",1
"Bethany, Mo",1
"Bethel Park, Pa.",3
"Bethel, Ct",2
Bethesda,1
"Bethesda, Md",1
"Bethesda, Md.",2
"Bethlehem, Pa",2
"Bethlehem, Pa.",7
"Bethpage, N.y.",2
"Bettendorf, Iowa",10
"Beulaville, Nc",1
"Beverly, Mass.",1
"Biddeford, Me",2
"Bidwell, Oh",1
"Big Chimney, W.va.",1
"Big Lake, Minn.",1
"Big Sky, Mt",1
"Big Spring, Texas",1
"Billerica, Mass.",1
"Billings, Mont.",1
"Billings, Mt",1
"Biloxi, Ms",1
"Binghamton, N.y.",2
"Birch Run, Mi",1
"Birch Run, Mich.",1
"Birch Tree, Mo.",1
"Bird Island, Minn.",1
"Birdsboro, Pa",1
"Birdsboro, Pa.",1
"Birmingham, Al",1
"Birmingham, Ala.",12
"Birmingham, Alabama",2
"Birmingham, Mich.",1
"Bismarck, N.d.",4
"Biwabik, Minn.",1
"Bixby, Okla.",1
"Black Earth, Wis.",1
"Blacklick, Ohio",2
"Blacksburg, Va.",4
"Blackstone, Mass.",1
"Blaine, Minn.",5
"Blaine, Mn",1
"Blairsville, Ga.",1
