position,count,cleaned_position
Defensive Specialist/Setter,2,DS/S
Defensive Specialist/Outside Hitter,3,DS/OH
Defensive Specialist/Libero,32,DS/L
Defensive Specialist / Libero,2,DS/L
Defensive Specialist,31,DS
Defensive,1055,DS
Defense Specialist,1,DS
Def.,8,DS
DS/SS,1,DS/S
DS/S,19,DS/S
DS/RS,1,DS/RS
DS/OPP/OH,1,DS/OPP/OH
DS/OP,1,DS/OP
DS/OH,28,DS/OH
DS/Libero,8,DS/L
DS/Liberio,1,DS/L
DS/Lib.,1,DS/L
DS/LB,9,DS/L
DS/L,304,DS/L
"DS, S",1,DS/S
DS,531,DS
DEFENSIVE,4,DS
