team,ncaa_id,team_state,conference,division
Olivet,525,MI,Michigan Intercol. Ath. Assn.,III
SUNY Oneonta,526,NY,SUNYAC,III
Oswego St.,530,NY,SUNYAC,III
Otterbein,531,OH,OAC,III
Elms,532,MA,Great Northeast,III
Pace,533,NY,NE10,II
UNC Pembroke,537,NC,Conference Carolinas,II
Penn St.-Behrend,538,PA,AMCC,III
Bemidji St.,54,MN,NSIC,II
Pepperdine,541,CA,WCC,I
Jefferson,543,PA,CACC,II
Pine Manor,544,MA,DIII Independent,III
Pitt.-Johnstown,546,PA,PSAC,II
Plattsburgh St.,547,NY,SUNYAC,III
Pomona-Pitzer,549,CA,SCIAC,III
Benedict,55,SC,SIAC,II
SUNY Potsdam,552,NY,SUNYAC,III
Prairie View A&M,553,TX,SWAC,I
Puget Sound,557,WA,NWC,III
Bentley,56,MA,NE10,II
Queens (NY),560,NY,ECC,II
Quincy,561,IL,GLVC,II
Ramapo,564,NJ,NJAC,III
Randolph-Macon,565,VA,ODAC,III
Randolph,566,VA,ODAC,III
Redlands,567,CA,SCIAC,III
Regis (CO),568,CO,RMAC,II
Regis (MA),569,MA,Great Northeast,III
Rhode Island College,571,RI,Little East,III
Rhodes,573,TN,SAA,III
Ripon,577,WI,MWC,III
Baruch,58,NY,CUNYAC,III
Rochester (NY),581,NY,UAA,III
Rockford,582,IL,NACC,III
Roger Williams,583,RI,CCC,III
Rollins,584,FL,Sunshine State,II
Rose-Hulman,585,IN,HCAC,III
Rutgers-Newark,589,NJ,NJAC,III
Bethany (WV),59,WV,PAC,III
Saginaw Valley,591,MI,GLIAC,II
St. Anselm,593,NH,NE10,II
Saint Benedict,595,MN,MIAC,III
St. Catherine,597,MN,MIAC,III
St. Cloud St.,598,MN,NSIC,II
Alabama A&M,6,AL,SWAC,I
Bethel (MN),60,MN,MIAC,III
St. John Fisher,601,NY,Empire 8,III
St. Lawrence,607,NY,Liberty League,III
Saint Leo,608,FL,Sunshine State,II
St. Mary's (MD),611,MD,United East,III
Saint Mary's (MN),612,MN,MIAC,III
Saint Michael's,613,VT,NE10,II
St. Norbert,614,WI,NACC,III
Stevens,679,NJ,MAC Freedom,III
St. Scholastica,618,MN,MIAC,III
St. Olaf,615,MN,MIAC,III
Salisbury,622,MD,C2C,III
Salve Regina,623,RI,CCC,III
San Fran. St.,628,CA,CCAA,II
Scranton,633,PA,Landmark,III
Seattle Pacific,634,WA,Great Northwest,II
Shenandoah,637,VA,ODAC,III
Shippensburg,638,PA,PSAC,II
Siena,639,NY,MAAC,I
TCNJ,712,NJ,NJAC,III
Simpson,641,CA,American Rivers,III
Skidmore,642,NY,Liberty League,III
Smith,644,MA,NEWMAC,III
Sonoma St.,645,CA,CCAA,II
South Alabama,646,AL,Sun Belt,I
South Carolina St.,647,SC,MEAC,I
Bloomsburg,65,PA,PSAC,II
Sewanee,652,TN,SAA,III
UMass Dartmouth,656,MA,Little East,III
Southern Conn. St.,658,CT,NE10,II
Southern Ill.,659,IL,MVC,I
SIUE,660,IL,OVC,I
Southern Ind.,661,IN,OVC,I
Southern Me.,662,ME,Little East,III
Southern Utah,667,UT,WAC,I
Missouri St.,669,MO,MVC,I
Springfield,673,MA,NEWMAC,III
Staten Island,675,NY,ECC,II
Texas Lutheran,1400,TX,SCAC,III
Stonehill,682,MA,NEC,I
Suffolk,684,MA,CCC,III
Susquehanna,685,PA,Landmark,III
Swarthmore,686,PA,Centennial,III
Tampa,689,FL,Sunshine State,II
Bowdoin,69,ME,NESCAC,III
Tennessee St.,691,TN,OVC,I
Chattanooga,693,TN,SoCon,I
Tex. A&M-Kingsville,696,TX,Lone Star,II
Texas Southern,699,TX,SWAC,I
Bowie St.,70,MD,CIAA,II
Texas Woman's,701,TX,Lone Star,II
Thiel,707,PA,PAC,III
Chicago,137,IL,UAA,III
Trinity (CT),713,CT,NESCAC,III
Trinity (TX),715,TX,SCAC,III
Tufts,717,MA,NESCAC,III
Tulsa,719,OK,AAC,I
Tuskegee,720,AL,SIAC,II
Coast Guard,722,CT,NEWMAC,III
Union (NY),727,NY,Liberty League,III
Upper Iowa,728,IA,NSIC,II
Brandeis,73,MA,UAA,III
Ursinus,730,PA,Centennial,III
Utah St.,731,UT,Mountain West,I
Valdosta St.,734,GA,Gulf South,II
Vassar,737,NY,Liberty League,III
Bridgeport,74,CT,CACC,II
Va. Wesleyan,745,VA,ODAC,III
Virginia,746,VA,ACC,I
Bridgewater (VA),75,VA,ODAC,III
Wartburg,750,IA,American Rivers,III
Washington & Jefferson,751,PA,PAC,III
Washington Col.,753,MD,Centennial,III
WashU,755,MO,UAA,III
Wayne St. (MI),757,MI,GLIAC,II
Webster,759,MO,SLIAC,III
Wellesley,760,MA,NEWMAC,III
Wentworth,762,MA,CCC,III
Wesleyan (CT),764,CT,NESCAC,III
West Texas A&M,767,TX,Lone Star,II
Western Connecticut St.,770,CT,Little East,III
Western Ky.,772,KY,C-USA,I
McDaniel,773,MD,Centennial,III
Western New Eng.,775,MA,CCC,III
Wheaton (IL),778,IL,CCIW,III
Wheaton (MA),779,MA,NEWMAC,III
St. Thomas (MN),620,MN,Summit League,I
Whitman,780,WA,NWC,III
Widener,783,PA,MAC Freedom,III
Wilkes,784,PA,MAC Freedom,III
Willamette,785,OR,NWC,III
William Paterson,787,NJ,NJAC,III
Winona St.,790,MN,NSIC,II
Winston-Salem,791,NC,CIAA,II
Wis.-Eau Claire,793,WI,WIAC,III
Wisconsin-La Crosse,795,WI,WIAC,III
Wis.-Oshkosh,798,WI,WIAC,III
Wisconsin-Parkside,799,WI,GLIAC,II
Brown,80,RI,Ivy League,I
Wis.-Platteville,800,WI,WIAC,III
Wisconsin-River Falls,801,WI,WIAC,III
Wisconsin-Stevens Point,802,WI,WIAC,III
Wisconsin-Stout,803,WI,WIAC,III
Wisconsin-Superior,804,WI,UMAC,III
Wisconsin-Whitewater,805,WI,WIAC,III
Wittenberg,806,OH,NCAC,III
Wooster,807,OH,NCAC,III
WPI,808,MA,NEWMAC,III
Westminster (PA),1451,PA,PAC,III
Wright St.,810,OH,Horizon,I
Yale,813,CT,Ivy League,I
York (PA),815,PA,MAC Commonwealth,III
Youngstown St.,817,OH,Horizon,I
Hilbert,8398,NY,AMCC,III
Buena Vista,84,IA,American Rivers,III
Hood,8404,MD,MAC Commonwealth,III
Ark.-Monticello,8411,AR,GAC,II
LeTourneau,8490,TX,ASC,III
McMurry,8530,TX,ASC,III
Buffalo,86,NY,MAC,I
St. Mary's (IN),8688,IN,Michigan Intercol. Ath. Assn.,III
Southwest Minn. St.,8736,MN,NSIC,II
Southwestern Okla.,8744,OK,GAC,II
Southwestern (TX),8746,TX,SCAC,III
Worcester St.,809,MA,MASCAC,III
Chowan,8875,NC,Conference Carolinas,II
Caltech,89,CA,SCIAC,III
Wis. Lutheran,8911,WI,NACC,III
Converse,8935,SC,Conference Carolinas,II
East Central,8965,OK,GAC,II
Endicott,8981,MA,CCC,III
Georgian Court,9004,NJ,CACC,II
Fort Hays St.,9011,KS,Mid-America Intercollegiate,II
Mo. Southern St.,9012,MO,Mid-America Intercollegiate,II
Missouri Western,9013,MO,Mid-America Intercollegiate,II
Concordia-St. Paul,9081,MN,NSIC,II
Cal Poly Pomona,91,CA,CCAA,II
Cal St. Dom. Hills,92,CA,CCAA,II
Adams St.,929,CO,RMAC,II
Cal St. San Bernardino,93,CA,CCAA,II
Alvernia,938,PA,MAC Commonwealth,III
Anderson (IN),939,IN,HCAC,III
Arkansas Tech,947,AR,GAC,II
Chico St.,95,CA,CCAA,II
Austin,953,TX,SCAC,III
Bard,962,NY,Liberty League,III
West Va. Wesleyan,9630,WV,MEC,II
Arcadia,966,PA,MAC Freedom,III
Embry-Riddle (FL),9680,FL,Sunshine State,II
St. Elizabeth,9684,NJ,CSAC,III
Berry,973,GA,SAA,III
UC-Colo. Springs,9754,CA,RMAC,II
Cal St. East Bay,98,CA,CCAA,II
Bluefield St.,985,WV,DII Independent,II
Caldwell,995,NJ,CACC,II
Cameron,996,OK,Lone Star,II
Valley Forge,30166,PA,CSAC,III
Talladega,505160,AL,NA,NAIA
Edward Waters,30244,FL,SIAC,II
Pfeiffer,542,NC,USA South,III
Florida State,234,ACC,I
