team,ncaa_id,team_state,conference,division
Loyola-Maryland,369,MD,Patriot,I
Marist,386,NY,MAAC,I
George Mason,248,VA,Atlantic 10,I
Purdue-Fort Wayne,308,IN,Horizon,I
McNeese State,402,LA,Southland,I
North Texas,497,TX,C-USA,I
Merrimack,410,MA,NEC,I
Miami Ohio,414,OH,MAC,I
Milwaukee,797,WI,Horizon,I
Montana,441,MT,Big Sky,I
Mount St. Joseph,8567,OH,Heartland,III
Michigan State,416,MI,Big Ten,I
Montana State,440,MT,Big Sky,I
Morehead State,444,KY,OVC,I
Navy,726,MD,Patriot,I
North Carolina Central,489,NC,MEAC,I
North Dakota State,493,ND,Summit League,I
Niagara,482,NY,MAAC,I
Nicholls State,483,LA,Southland,I
New Jersey Institute of Technology,471,NJ,America East,I
Northern Kentucky,505,KY,Horizon,I
New Mexico State,472,NM,WAC,I
Norfolk State,485,VA,MEAC,I
Northwestern State,508,LA,Southland,I
Northwestern,509,IL,Big Ten,I
Old Dominion,523,VA,Sun Belt,I
Ohio State,518,OH,Big Ten,I
Mississippi,433,MS,SEC,I
Omaha,464,NE,Summit League,I
Oral Roberts,527,OK,Summit League,I
North Florida,2711,FL,ASUN,I
Oklahoma,522,OK,Big 12,I
Penn State,539,PA,Big Ten,I
Portland,551,OR,WCC,I
New Orleans,474,LA,Southland,I
Portland State,550,OR,Big Sky,I
Quinnipiac,562,CT,MAAC,I
Murray State,454,KY,MVC,I
Radford,563,VA,Big South,I
Louisiana,671,LA,Sun Belt,I
Loyola-Chicago,371,IL,Atlantic 10,I
Illinois State,299,IL,MVC,I
Rhode Island,572,RI,Atlantic 10,I
Rice,574,TX,C-USA,I
Rider,576,NJ,MAAC,I
UMass Lowell,368,MA,America East,I
Sacred Heart,590,CT,NEC,I
Sacramento State,102,CA,Big Sky,I
Saint Louis,609,MO,Atlantic 10,I
Samford,625,AL,SoCon,I
San Jose State,630,CA,Mountain West,I
Santa Clara,631,CA,WCC,I
South Dakota,650,SD,Summit League,I
Stephen F. Austin,676,TX,WAC,I
St. Francis College Brooklyn,599,NY,NEC,I
Saint Francis (PA),600,PA,NEC,I
Southern Methodist,663,TX,AAC,I
Southern Miss,664,MS,Sun Belt,I
Fairfield,220,CT,MAAC,I
Stanford,674,CA,Pac-12,I
Stetson,678,FL,ASUN,I
Stony Brook,683,NY,CAA,I
Seattle,1356,WA,WAC,I
Texas Christian,698,TX,Big 12,I
Towson,711,MD,CAA,I
Tennessee Tech,692,TN,OVC,I
Texas State,670,TX,Sun Belt,I
UAB,9,AL,C-USA,I
Arkansas-Pine Bluff,2678,AR,SWAC,I
Central Arkansas,1004,AR,ASUN,I
UC Davis,108,CA,Big West,I
UC Irvine,109,CA,Big West,I
UC Riverside,111,CA,Big West,I
UC Santa Barbara,104,CA,Big West,I
Evansville,219,IN,MVC,I
Georgia,257,GA,SEC,I
Houston,288,TX,AAC,I
Illinois-Chicago,302,IL,MVC,I
Incarnate Word,2743,TX,Southland,I
Louisiana Monroe,498,LA,Sun Belt,I
UMBC,391,MD,America East,I
Maryland,392,MD,Big Ten,I
Northern Colorado,502,CO,Big Sky,I
UNC Asheville,456,NC,Big South,I
UNC Greensboro,459,NC,SoCon,I
North Carolina,457,NC,ACC,I
New Hampshire,469,NH,America East,I
Northern Iowa,504,IA,MVC,I
New Mexico,473,NM,Mountain West,I
Southern Cal,657,CA,Pac-12,I
San Diego,627,CA,WCC,I
Texas-El Paso,704,TX,C-USA,I
UT Martin,695,TN,OVC,I
UT-Rio Grande Valley,536,TX,WAC,I
UT-San Antonio,706,TX,C-USA,I
Utah Valley,30024,UT,WAC,I
Washington,756,WA,Pac-12,I
Valparaiso,735,IN,MVC,I
Vanderbilt,736,TN,SEC,I
Weber State,758,UT,Big Sky,I
Winthrop,792,SC,Big South,I
William & Mary,786,VA,CAA,I
Western Michigan,774,MI,MAC,I
Wofford,2915,SC,SoCon,I
West Virginia,768,WV,Big 12,I
Gonzaga,260,WA,WCC,I
Akron,5,OH,MAC,I
Cal State LA,100,CA,CCAA,II
Carson-Newman,1000,TN,SAC,II
Catawba,1001,NC,SAC,II
Central Okla.,1009,OK,Mid-America Intercollegiate,II
CSUN,101,CA,Big West,I
Central Wash.,1010,WA,Great Northwest,II
Chadron St.,1012,NE,RMAC,II
Charleston (WV),1013,WV,MEC,II
Christian Brothers,1015,TN,Gulf South,II
Coker,1023,SC,SAC,II
Concord,1028,WV,MEC,II
Concordia Wisconsin,1036,WI,NACC,III
USC Upstate,10411,SC,Big South,I
Defiance,1050,OH,HCAC,III
Drury,1057,MO,GLVC,II
D'Youville,1059,NY,ECC,II
Cal U (PA),106,PA,PSAC,II
East Tex. Baptist,1062,TX,ASC,III
Eastern Nazarene,1064,MA,NECC,III
Edgewood,1066,WI,NACC,III
Elon,1068,NC,CAA,I
Emporia St.,1071,KS,Mid-America Intercollegiate,II
Erskine,1072,SC,Conference Carolinas,II
Fairmont St.,1076,WV,MEC,II
Findlay,1079,OH,G-MAC,II
