team,twitter,url,ncaa_id,stats_name,private,roster
Albany,ualbanywbb,https://ualbanysports.com/sports/womens-volleyball,14,Albany (NY),,
Central Florida,ucf_wbb,https://ucfknights.com/sports/volleyball,128,Ucf,,
UCLA,UCLAWBB,https://uclabruins.com/sports/womens-volleyball,110,Ucla,,
UConn,UConnWBB,https://uconnhuskies.com/sports/womens-volleyball,164,UConn,,
Michigan,umichwvball,https://mgoblue.com/sports/womens-volleyball,418,Michigan,,
Louisville,LouisvilleWBB,https://gocards.com/sports/womens-volleyball,367,Louisville,,
San Francisco,usfdonswbb,https://usfdons.com/sports/womens-volleyball,629,San Francisco,,
South Florida,usfwbb,https://gousfbulls.com/sports/womens-volleyball,651,South Fla.,,
Utah,utahwbb,https://utahutes.com/sports/womens-volleyball,732,Utah,,
Texas-Arlington,utamavswbb,https://utamavs.com/sports/womens-volleyball,702,UT Arlington,,
Idaho,vandalswbb,https://govandals.com/sports/womens-volleyball,295,Idaho,,
Virginia Commonwealth,vcuwbb,https://vcuathletics.com/sports/womens-volleyball,740,Vcu,,
Wake Forest,wakewbb,https://godeacs.com/sports/womens-volleyball,749,Wake Forest,,
Western Illinois,wiuwbb,https://goleathernecks.com/sports/womens-volleyball,771,Western Ill.,,
Washington State,wsucougarwbb,https://wsucougars.com/sports/womens-volleyball,754,Washington St.,,
Wyoming,wyo_wbb,https://gowyo.com/sports/womens-volleyball,811,Wyoming,,
Xavier,xavierwbb,https://goxavier.com/sports/womens-volleyball,812,Xavier,,
Abilene Christian,acuwbb,https://acusports.com/sports/womens-volleyball,2,Abilene Christian,,
Alcorn State,alcornwbb,https://alcornsports.com/sports/womens-volleyball,17,Alcorn,,
Appalachian State,appstatewbb,https://appstatesports.com/sports/womens-volleyball,27,Appalachian St.,false,
Austin Peay,GovsWBB,https://letsgopeay.com/sports/womens-volleyball,43,Austin Peay,,
San Diego State,Aztec_WBB,https://goaztecs.com/sports/womens-volleyball,626,,,
Ball State,ballstatewbb,https://ballstatesports.com/sports/womens-volleyball,47,Ball St.,,
Alabama State,bamastatewbb,https://bamastatesports.com/sports/womens-volleyball,7,Alabama St.,,
Bethune-Cookman,bcuwbb,https://bcuathletics.com/sports/womens-volleyball,61,Bethune-Cookman,,
Long Beach State,LBSUWBB,https://longbeachstate.com/sports/womens-volleyball,99,Long Beach St.,,
