"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","height_ft","height_in","total_inches","primary_position","secondary_position","position_full","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
813,"Yale",19261,"Payton Bryan","First Year","Jupiter","Florida","Benjamin School",,"6'3""","OH","17","https://www.yalebulldogs.com/sports/womens-volleyball/roster/payton-bryan/19261","202320",6,3,75,"OH",,"OH","Freshman",0,"Benjamin School","JUPITER, FLORIDA","FL","USA"
813,"Yale",19257,"Cara Shultz","Junior","Glenmoore","Pennsylvania","Bishop Shanahan",,"5'11""","OH","18","https://www.yalebulldogs.com/sports/womens-volleyball/roster/cara-shultz/19257","202320",5,11,71,"OH",,"OH","Junior",0,"Bishop Shanahan","GLENMOORE, PA","PA","USA"
813,"Yale",19250,"Carly Diehl","Junior","San Diego","Calif","Torrey Pines",,"5'11""","S","21","https://www.yalebulldogs.com/sports/womens-volleyball/roster/carly-diehl/19250","202320",5,11,71,"S",,"S","Junior",0,"Torrey Pines","SAN DIEGO, CALIF","CA","USA"
813,"Yale",19252,"Audrey Leak","Senior","Saddle River","NJ.","Dwight-Englewood",,"6'2""","OH","23","https://www.yalebulldogs.com/sports/womens-volleyball/roster/audrey-leak/19252","202320",6,2,74,"OH",,"OH","Senior",0,"Dwight-Englewood","SADDLE RIVER, NJ","NJ","USA"
813,"Yale",19249,"Chidera Chukwumerije","Sophomore","Atlanta","Georgia","Cate School",,"6'2""","MB","24","https://www.yalebulldogs.com/sports/womens-volleyball/roster/chidera-chukwumerije/19249","202320",6,2,74,"MB",,"MB","Sophomore",0,"Cate School","ATLANTA, GA","GA","USA"
813,"Yale",19253,"Isabella Mendoza","Sophomore","Miami","Fla","Divine Savior Academy",,"5'11""","OH","30","https://www.yalebulldogs.com/sports/womens-volleyball/roster/isabella-mendoza/19253","202320",5,11,71,"OH",,"OH","Sophomore",0,"Divine Savior Academy","MIAMI, FLA","FL","USA"
813,"Yale",19262,"Betsy Goodenow","First Year","Lenexa","Kansas","St. Thomas Aquinas",,"6'0""","RS","33","https://www.yalebulldogs.com/sports/womens-volleyball/roster/betsy-goodenow/19262","202320",6,0,72,"RS",,"RS","Freshman",0,"St. Thomas Aquinas","LENEXA, KANSAS","KS","USA"
815,"York (PA)",15922,"Lily Morton","Sophomore","Elkton","Maryland","Caravel Academy",,"5'4""","DS","2","https://www.ycpspartans.com/sports/womens-volleyball/roster/lily-morton/15922","202320",5,4,64,"DS",,"DS","Sophomore",0,"Caravel Academy","ELKTON, MD","MD","USA"
815,"York (PA)",15924,"Morgan Nolte","Sophomore","Townsend","Del","Middletown",,"6'0""","MH","5","https://www.ycpspartans.com/sports/womens-volleyball/roster/morgan-nolte/15924","202320",6,0,72,"MB",,"MB","Sophomore",0,"Middletown","TOWNSEND, DEL","DE","USA"
815,"York (PA)",15943,"Kelsey Holman","Freshman","Taneytown","Maryland","Francis Scott Key",,"5'10""","MH","6","https://www.ycpspartans.com/sports/womens-volleyball/roster/kelsey-holman/15943","202320",5,10,70,"MB",,"MB","Freshman",0,"Francis Scott Key","TANEYTOWN, MD","MD","USA"
815,"York (PA)",15948,"Gianna Krinock","Graduate Student","York","Pennsylvania","West York",,"5'9""","OH","7","https://www.ycpspartans.com/sports/womens-volleyball/roster/gianna-krinock/15948","202320",5,9,69,"OH",,"OH","Graduate Student",0,"West York","YORK, PA","PA","USA"
815,"York (PA)",15946,"Hannah Runyard","Freshman","Antioch","Ill","Antioch",,"5'4""","DS","9","https://www.ycpspartans.com/sports/womens-volleyball/roster/hannah-runyard/15946","202320",5,4,64,"DS",,"DS","Freshman",0,"Antioch","ANTIOCH, ILL","IL","USA"
815,"York (PA)",15920,"Jasmine Doguin","Senior","Bolingbrook","Ill","Bolingbrook",,"5'3""","Lib","10","https://www.ycpspartans.com/sports/womens-volleyball/roster/jasmine-doguin/15920","202320",5,3,63,"L",,"L","Senior",0,"Bolingbrook","BOLINGBROOK, ILL","IL","USA"
815,"York (PA)",15923,"Alyssa Mott","Junior","Wernersville","Pennsylvania","Conrad Weiser",,"5'8""","S","13","https://www.ycpspartans.com/sports/womens-volleyball/roster/alyssa-mott/15923","202320",5,8,68,"S",,"S","Junior",0,"Conrad Weiser","WERNERSVILLE, PA","PA","USA"
815,"York (PA)",15919,"Abby Diehl","Fifth Year","East Berlin","Pennsylvania","Dover",,"5'10""","S","15","https://www.ycpspartans.com/sports/womens-volleyball/roster/abby-diehl/15919","202320",5,10,70,"S",,"S","Fifth Year",0,"Dover","EAST BERLIN, PA","PA","USA"
815,"York (PA)",15921,"Jackie Karcz","Junior","Westminster","Maryland","Westminster",,"5'7""","Lib","20","https://www.ycpspartans.com/sports/womens-volleyball/roster/jackie-karcz/15921","202320",5,7,67,"L",,"L","Junior",0,"Westminster","WESTMINSTER, MD","MD","USA"
815,"York (PA)",15926,"Jennifer Taylor","Junior","Pittsburgh","Pennsylvania","Plum",,"6'2""","OH","21","https://www.ycpspartans.com/sports/womens-volleyball/roster/jennifer-taylor/15926","202320",6,2,74,"OH",,"OH","Junior",0,"Plum","PITTSBURGH, PA","PA","USA"
815,"York (PA)",15944,"Megan Holmes","Freshman","Lewisberry","Pennsylvania","Cedar Cliff",,"5'9""","OH","22","https://www.ycpspartans.com/sports/womens-volleyball/roster/megan-holmes/15944","202320",5,9,69,"OH",,"OH","Freshman",0,"Cedar Cliff","LEWISBERRY, PA","PA","USA"
815,"York (PA)",15925,"Maggie Pitman","Junior","Portsmouth","Virginia","Granby",,"5'8""","S","23","https://www.ycpspartans.com/sports/womens-volleyball/roster/maggie-pitman/15925","202320",5,8,68,"S",,"S","Junior",0,"Granby","PORTSMOUTH, VA","VA","USA"
815,"York (PA)",15947,"Darby Stetter","Freshman","Liberty","Pennsylvania","North Penn-Liberty",,"5'9""","OH","24","https://www.ycpspartans.com/sports/womens-volleyball/roster/darby-stetter/15947","202320",5,9,69,"OH",,"OH","Freshman",0,"North Penn-Liberty","LIBERTY, PA","PA","USA"
815,"York (PA)",15945,"Liz Kerin","Freshman","Elizabethtown","Pennsylvania","Elizabethtown",,"6'0""","MH","26","https://www.ycpspartans.com/sports/womens-volleyball/roster/liz-kerin/15945","202320",6,0,72,"MB",,"MB","Freshman",0,"Elizabethtown","ELIZABETHTOWN, PA","PA","USA"
817,"Youngstown St.",6710,"Josi Borum","Fifth Year","Sterling","Ill","Sterling","Chicago State","6'1""","Setter","2","https://www.ysusports.com/sports/womens-volleyball/roster/josi-borum/6710","202320",6,1,73,"S",,"S","Fifth Year",0,"Sterling","STERLING, ILL","IL","USA"
817,"Youngstown St.",6711,"Kiley Mitchell","Senior","Oswego","Ill","Oswego East",,"6'0""","Middle","3","https://www.ysusports.com/sports/womens-volleyball/roster/kiley-mitchell/6711","202320",6,0,72,"MB",,"MB","Senior",0,"Oswego East","OSWEGO, ILL","IL","USA"
817,"Youngstown St.",6712,"Jocelyn Jourdan","Freshman","Austintown","Ohio","Austintown Fitch",,"6'2""","Outside","4","https://www.ysusports.com/sports/womens-volleyball/roster/jocelyn-jourdan/6712","202320",6,2,74,"OH",,"OH","Freshman",0,"Austintown Fitch","AUSTINTOWN, OHIO","OH","USA"
817,"Youngstown St.",6713,"Elise Moeller","Senior","Rock Falls","Ill","Rock Falls","Evansville","5'11""","Outside","5","https://www.ysusports.com/sports/womens-volleyball/roster/elise-moeller/6713","202320",5,11,71,"OH",,"OH","Senior",0,"Rock Falls","ROCK FALLS, ILL","IL","USA"
817,"Youngstown St.",6714,"Julia Sell","Sophomore","Chagrin Falls","Ohio","Kenston",,"6'2""","Middle","6","https://www.ysusports.com/sports/womens-volleyball/roster/julia-sell/6714","202320",6,2,74,"MB",,"MB","Sophomore",0,"Kenston","CHAGRIN FALLS, OHIO","OH","USA"
817,"Youngstown St.",6715,"Isabel Schaefbauer","Senior","Normal","Ill","University","Winthrop","5'9""","Setter","7","https://www.ysusports.com/sports/womens-volleyball/roster/isabel-schaefbauer/6715","202320",5,9,69,"S",,"S","Senior",0,"University","NORMAL, ILL","IL","USA"
817,"Youngstown St.",6716,"Maria Insana","Freshman","Chagrin Falls","Ohio","Kenston",,"5'4""","Defensive","9","https://www.ysusports.com/sports/womens-volleyball/roster/maria-insana/6716","202320",5,4,64,"DS",,"DS","Freshman",0,"Kenston","CHAGRIN FALLS, OHIO","OH","USA"
817,"Youngstown St.",6717,"Dayan Malave","Senior","Manatí","Puerto Rico","Christian Military Academy","Iowa Western","5'11""","Middle","10","https://www.ysusports.com/sports/womens-volleyball/roster/dayan-malave/6717","202320",5,11,71,"MB",,"MB","Senior",0,"Christian Military Academy","MANATÍ, PUERTO RICO","PR","USA"
817,"Youngstown St.",6718,"Jazmin Vergara","Junior","Buenaventura","Colombia","Inem Jorge Isaacr","Miami Dade College","6'0""","Outside","14","https://www.ysusports.com/sports/womens-volleyball/roster/jazmin-vergara/6718","202320",6,0,72,"OH",,"OH","Junior",0,"Inem Jorge Isaacr","BUENAVENTURA, COLOMBIA",,"COLOMBIA"
817,"Youngstown St.",6719,"Gabriela Machin","Freshman","San Lorenzo","Puerto Rico","Caguas Private School",,"6'0""","Right","16","https://www.ysusports.com/sports/womens-volleyball/roster/gabriela-machin/6719","202320",6,0,72,"RS",,"RS","Freshman",0,"Caguas Private School","SAN LORENZO, PUERTO RICO","PR","USA"
